SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1061	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1061
ASV_1062	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1062
ASV_1063	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1063
ASV_1064	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1064
ASV_1065	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1065
ASV_1066	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1066
ASV_1067	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1067
ASV_1068	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1068
ASV_1069	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1069
ASV_1070	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1070
ASV_1071	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1071
ASV_1072	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1072
ASV_1073	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1073
ASV_1074	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1074
ASV_1075	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1075
ASV_1076	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1076
ASV_1077	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1077
ASV_1078	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1078
ASV_1079	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1079
ASV_1080	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1080
ASV_1081	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1081
ASV_1082	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1082
ASV_1083	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1083
ASV_1084	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1084
ASV_1085	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1085
ASV_1086	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1086
ASV_1087	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1087
ASV_1088	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1088
ASV_1089	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1089
ASV_1090	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1090
ASV_1091	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1091
ASV_1092	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1092
ASV_1093	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1093
ASV_1094	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1094
ASV_1095	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1095
ASV_1096	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1096
ASV_1097	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1097
ASV_1098	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1098
ASV_1099	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1099
ASV_1100	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1100
ASV_1101	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1101
ASV_1102	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1102
ASV_1103	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1103
ASV_1104	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1104
ASV_1105	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1105
ASV_1106	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1106
ASV_1107	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1107
ASV_1108	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1108
ASV_1109	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1109
ASV_1110	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1110
ASV_1111	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1111
ASV_1112	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1112
ASV_1113	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1113
ASV_1114	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1114
ASV_1115	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1115
ASV_1116	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1116
ASV_1117	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1117
ASV_1118	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1118
ASV_1119	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1119
ASV_1120	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1120
ASV_1121	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1121
ASV_1122	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1122
ASV_1123	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1123
ASV_1124	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1124
ASV_1125	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1125
ASV_1126	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1126
ASV_1127	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1127
ASV_1128	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1128
ASV_1129	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1129
ASV_1130	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1130
ASV_1131	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1131
ASV_1132	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1132
ASV_1133	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1133
ASV_1134	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1134
ASV_1135	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1135
ASV_1136	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1136
ASV_1137	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1137
ASV_1138	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1138
ASV_1139	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1139
ASV_1140	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1140
ASV_1141	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1141
ASV_1142	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1142
ASV_1143	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1143
ASV_1144	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1144
ASV_1145	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1145
ASV_1146	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1146
ASV_1147	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1147
ASV_1148	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1148
ASV_1149	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1149
ASV_1150	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1150
ASV_1151	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1151
ASV_1152	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1152
ASV_1153	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1153
ASV_1154	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1154
ASV_1155	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1155
ASV_1156	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1156
ASV_1157	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1157
ASV_1158	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1158
ASV_1159	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1159
ASV_1160	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1160
ASV_1161	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1161
ASV_1162	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1162
ASV_1163	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1163
ASV_1164	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1164
ASV_1165	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1165
ASV_1166	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1166
ASV_1167	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1167
ASV_1168	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1168
ASV_1169	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1169
ASV_1170	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1170
ASV_1171	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1171
ASV_1172	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1172
ASV_1173	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1173
ASV_1174	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1174
ASV_1175	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1175
ASV_1176	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1176
ASV_1177	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1177
ASV_1178	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1178
ASV_1179	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1179
ASV_1180	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1180
ASV_1181	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1181
ASV_1182	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1182
ASV_1183	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1183
ASV_1184	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1184
ASV_1185	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1185
ASV_1186	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1186
ASV_1187	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1187
ASV_1188	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1188
ASV_1189	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1189
ASV_1190	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1190
ASV_1191	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1191
ASV_1192	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1192
ASV_1193	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1193
ASV_1194	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1194
ASV_1195	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1195
ASV_1196	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1196
ASV_1197	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1197
ASV_1198	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1198
ASV_1199	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1199
ASV_1200	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1200
ASV_1201	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1201
ASV_1202	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1202
ASV_1203	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1203
ASV_1204	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1204
ASV_1205	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1205
ASV_1206	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1206
ASV_1207	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1207
ASV_1208	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1208
ASV_1209	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1209
ASV_1210	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1210
ASV_1211	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1211
ASV_1212	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1212
ASV_1213	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1213
ASV_1214	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1214
ASV_1215	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1215
ASV_1216	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1216
ASV_1217	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1217
ASV_1218	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1218
ASV_1219	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1219
ASV_1220	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1220
ASV_1221	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1221
ASV_1222	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1222
ASV_1223	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1223
ASV_1224	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1224
ASV_1225	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1225
ASV_1226	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1226
ASV_1227	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1227
ASV_1228	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1228
ASV_1229	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1229
ASV_1230	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1230
ASV_1231	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1231
ASV_1232	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1232
ASV_1233	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1233
ASV_1234	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1234
ASV_1235	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1235
ASV_1236	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1236
ASV_1237	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1237
ASV_1238	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1238
ASV_1239	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1239
ASV_1240	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1240
ASV_1241	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1241
ASV_1242	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1242
ASV_1243	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1243
ASV_1244	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1244
ASV_1245	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1245
ASV_1246	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1246
ASV_1247	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1247
ASV_1248	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1248
ASV_1249	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1249
ASV_1250	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1250
ASV_1251	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1251
ASV_1252	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1252
ASV_1253	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1253
ASV_1254	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1254
ASV_1255	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1255
ASV_1256	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1256
ASV_1257	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1257
ASV_1258	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1258
ASV_1259	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1259
ASV_1260	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1260
ASV_1261	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1261
ASV_1262	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1262
ASV_1263	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1263
ASV_1264	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1264
ASV_1265	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1265
ASV_1266	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1266
ASV_1267	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1267
ASV_1268	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1268
ASV_1269	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1269
ASV_1270	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1270
ASV_1271	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1271
ASV_1272	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1272
ASV_1273	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1273
ASV_1274	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1274
ASV_1275	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1275
ASV_1276	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1276
ASV_1277	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1277
ASV_1278	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1278
ASV_1279	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1279
ASV_1280	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1280
ASV_1281	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1281
ASV_1282	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1282
ASV_1283	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1283
ASV_1284	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1284
ASV_1285	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1285
ASV_1286	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1286
ASV_1287	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1287
ASV_1288	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1288
ASV_1289	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1289
ASV_1290	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1290
ASV_1291	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1291
ASV_1292	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1292
ASV_1293	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1293
ASV_1294	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1294
ASV_1295	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1295
ASV_1296	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1296
ASV_1297	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1297
ASV_1298	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1298
ASV_1299	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1299
ASV_1300	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1300
ASV_1301	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1301
ASV_1302	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1302
ASV_1303	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1303
ASV_1304	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1304
ASV_1305	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1305
ASV_1306	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1306
ASV_1307	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1307
ASV_1308	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1308
ASV_1309	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1309
ASV_1310	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1310
ASV_1311	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1311
ASV_1312	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1312
ASV_1313	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1313
