,description,Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Total_Nitrogen_mg,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Mean_temperature_t0_t7,Microcystin,Dolicho.Abundance,Micro.Abundance,Cyano.Abundance,cyano.sum.helli,micro.sum.helli,doli.sum.helli
FLD0237_25_06_2008_b,25.06.2008.b,2008-6-25,June,2008,Pelagic,Summer,no,35.27,910,NA,NA,3.325,16.5375,NA,NA,NA,NA,15.54927139,0,0
FLD0201_25_07_2006_1,25.07.2006.1,2006-7-25,July,2006,Pelagic,Summer,no,NA,NA,NA,NA,2.375,20.9125,NA,0,11,3062,0.9931396,0.021642951,0.351458162
FLD0263_25_07_2009_b,25.07.2009.b,2009-7-25,July,2009,Littoral,Summer,yes,64.006,719,29.563,0.488,2.2,19.5625,NA,0,0,1558,0.956395392,0.427131741,0.128752104
FLD0264_25_07_2009_p2,25.07.2009.p2,2009-7-25,July,2009,Pelagic,Summer,yes,NA,NA,9.377,0.781,2.2,19.5625,124,0,0,1558,7.032837423,1.144666014,2.320981412
FLD0364_25_07_2016,25.07.2016,2016-7-25,July,2016,Littoral,Summer,NA,NA,NA,NA,NA,11.1375,19.875,NA,7,48,1324,NA,NA,NA
FLD0373_25_10_2016,25.10.2016,2016-10-25,October,2016,Littoral,Fall,NA,NA,NA,NA,NA,13.85,8.175,NA,NA,NA,NA,NA,NA,NA
FLD0284_26_07_2010_1,26.07.2010.1,2010-7-26,July,2010,Littoral,Summer,yes,111.861,1180,28.972,0.489,3.825,20.35,NA,NA,NA,NA,13.56790269,0.848162599,0.069717565
FLD0204_26_09_2006_1b,26.09.2006.1b,2006-9-26,September,2006,Pelagic,Fall,no,NA,NA,NA,NA,2.275,13.05,0,0,0,268,7.576057671,0.060611209,0.495034291
FLD0213_26_09_2006_2a,26.09.2006.2a,2006-9-26,September,2006,Littoral,Fall,NA,NA,NA,NA,NA,2.275,13.05,NA,0,4,1324,NA,NA,NA
FLD0229_26_09_2007_1,26.09.2007.1,2007-9-26,September,2007,Littoral,Fall,no,56.78,479.5,18.615,0.34995,0,18.075,NA,0,55,6844,10.53872741,0.007725752,0.389326597
FLD0230_26_09_2007_2,26.09.2007.2,2007-9-26,September,2007,Pelagic,Fall,no,44.155,474.15,21.255,0.35705,0,18.075,NA,5521,19455,33142,10.63023904,0,0.343430576
FLD0197_27_06_2006_1,27.06.2006.1,2006-6-27,June,2006,Pelagic,Summer,no,32.4227405,1021.058,11.3618565,0.9155875,3.5,19.275,NA,0,0,47,8.728092129,0.023224763,0.298957446
FLD0198_27_06_2006_2,27.06.2006.2,2006-6-27,June,2006,Littoral,Summer,no,39.6124915,1133.5565,13.75844,1.025423,3.5,19.275,NA,28764,3960,33705,6.002867482,0,0.347914766
FLD0365_27_07_2016,27.07.2016,2016-7-27,July,2016,Littoral,Summer,NA,66.9,468,44.7,349,5.8875,20.625,NA,15,183,5215,NA,NA,NA
FLD0329_27_08_2013_1,27.08.2013.1,2013-8-27,August,2013,Littoral,Summer,yes,148.474,1693,20.866,0.509,1.625,19.075,NA,101,19,13488,2.695595271,0.514853712,0.697704973
FLD0253_27_10_2008_1,27.10.2008.1,2008-10-27,October,2008,Littoral,Fall,no,37.975,NA,31.44,NA,5.325,6.15,NA,940,752,5987,1.537952901,0.01845717,0.007948569
FLD0254_27_10_2008_2,27.10.2008.2,2008-10-27,October,2008,Pelagic,Fall,no,46.115,NA,27.033,NA,5.325,6.15,NA,4210,2618,11988,7.165636367,0.049493694,0.013096067
FLD0342_28_07_2015_1,28.07.2015.1,2015-7-28,July,2015,Littoral,Summer,NA,45.8952,1083.530527,16.2,679,3.3625,20.0625,NA,976,66,1067,NA,NA,NA
FLD0265_29_07_2009_1,29.07.2009.1,2009-7-29,July,2009,Littoral,Summer,NA,NA,NA,NA,NA,5,21.575,NA,NA,NA,NA,NA,NA,NA
FLD0245_29_08_2008_1,29.08.2008.1,2008-8-29,August,2008,Littoral,Summer,no,NA,NA,NA,NA,0.625,18.6,NA,37,383,625,2.111677293,0.085910462,0.072013672
FLD0246_29_08_2008_2,29.08.2008.2,2008-8-29,August,2008,Pelagic,Summer,no,NA,NA,NA,NA,0.625,18.6,NA,4376,10741,31013,1.680070905,0.079252838,0.074909938
FLD0194_30_05_2006_2b,30.05.2006.2b,2006-5-30,May,2006,Littoral,Spring,NA,NA,NA,NA,NA,0.525,16.6875,NA,0,0,46456,NA,NA,NA
FLD0339_30_06_2015_L2,30.06.2015.L2,2015-6-30,June,2015,Littoral,Summer,NA,NA,NA,NA,NA,2.0625,16.95,NA,NA,NA,NA,NA,NA,NA
FLD0338_30_06_2015_p1,30.06.2015.p1,2015-6-30,June,2015,Pelagic,Summer,NA,NA,NA,NA,NA,2.0625,16.95,NA,0,6,1294,NA,NA,NA
FLD0344_30_07_2015_1,30.07.2015.1,2015-7-30,July,2015,Littoral,Summer,NA,60.5997,1227.408096,13.4,528,4.4,21.1625,NA,275,6869,7713,NA,NA,NA
