"","FLD0194_30_05_2006_2b","FLD0195_13_06_2006_1c","FLD0196_13_06_2006_2c","FLD0197_27_06_2006_1","FLD0198_27_06_2006_2","FLD0199_12_07_2006_1b","FLD0200_12_07_2006_2b","FLD0202_02_08_2006_1b","FLD0203_02_08_2006_2b","FLD0205_15_08_2006_2a","FLD0206_22_08_2006_1","FLD0207_22_08_2006_2","FLD0208_05_09_2006_1","FLD0209_05_09_2006_2","FLD0210_12_09_2006_1a","FLD0211_12_09_2006_2b","FLD0212_15_08_2006_1a","FLD0213_26_09_2006_2a","FLD0214_10_10_2006_1","FLD0215_16_10_2006_1b","FLD0216_16_10_2006_2b","FLD0219_06_07_2007_1","FLD0220_06_07_2007_2","FLD0221_02_08_2007_1","FLD0222_02_08_2007_2","FLD0223_22_08_2007_1","FLD0224_22_08_2007_2","FLD0225_05_09_2007_1","FLD0226_05_09_2007_2","FLD0227_19_09_2007_1","FLD0228_19_09_2007_2","FLD0229_26_09_2007_1","FLD0230_26_09_2007_2","FLD0231_10_10_2007_1","FLD0232_22_05_2008_1","FLD0233_01_06_2008_1","FLD0234_01_06_2008","FLD0236_25_06_2008_a","FLD0237_25_06_2008_b","FLD0238_02_07_2008","FLD0239_15_07_2008_1","FLD0240_15_07_2008_2","FLD0241_04_08_2008_4b","FLD0242_04_08_2008_2b","FLD0243_18_08_2008_4d","FLD0244_24_08_2008_2","FLD0245_29_08_2008_1","FLD0246_29_08_2008_2","FLD0248_03_09_2008_2b","FLD0249_17_09_2008_1d","FLD0250_17_09_2008_3b","FLD0251_07_10_2008_5b","FLD0252_07_10_2008_6b","FLD0253_27_10_2008_1","FLD0254_27_10_2008_2","FLD0255_20_05_2009_1","FLD0256_20_05_2009_2","FLD0257_17_06_2009_1","FLD0258_17_06_2009_2","FLD0259_08_07_2009_1","FLD0260_08_07_2009_2","FLD0261_12_07_2009_1b","FLD0262_12_07_2009_2b","FLD0263_25_07_2009_b","FLD0264_25_07_2009_p2","FLD0265_29_07_2009_1","FLD0266_08_08_2009_p2","FLD0267_22_08_2009_1","FLD0268_22_08_2009_p1","FLD0269_02_09_2009_1","FLD0270_02_09_2009_2","FLD0271_16_09_2009_1","FLD0272_16_09_2009_2","FLD0273_23_09_2009_1","FLD0274_23_09_2009_2","FLD0275_15_10_2009_1","FLD0276_15_10_2009_p2","FLD0277_05_05_2010_1","FLD0278_05_05_2010_2","FLD0279_16_06_2010_1","FLD0280_16_06_2010_2","FLD0281_05_07_2010_1","FLD0282_12_07_2010_1","FLD0283_12_07_2010_2","FLD0284_26_07_2010_1","FLD0285_10_08_2010_1","FLD0286_10_08_2010_2","FLD0289_22_08_2010_1","FLD0290_16_09_2010_1","FLD0291_16_09_2010_2","FLD0292_19_10_2010_1","FLD0293_19_10_2010_2","FLD0294_15_05_2011_1","FLD0295_15_05_2011_2","FLD0297_21_06_2011_1","FLD0298_21_06_2011_2","FLD0299_05_07_2011_1","FLD0300_05_07_2011_2","FLD0301_19_07_2011_1","FLD0302_19_07_2011_2","FLD0303_09_08_2011_1","FLD0304_09_08_2011_2","FLD0305_23_08_2011_1","FLD0306_23_08_2011_2","FLD0307_12_09_2011_1","FLD0308_12_09_2011_2","FLD0309_12_10_2011_1","FLD0310_12_10_2011_2","FLD0311_24_04_2012_1","FLD0312_07_06_2012_1","FLD0313_07_06_2012_2","FLD0314_20_07_2012_1","FLD0315_20_07_2012_2","FLD0316_14_08_2012_1","FLD0317_14_08_2012_2","FLD0318_17_09_2012_1","FLD0319_17_09_2012_2","FLD0320_17_10_2012_1","FLD0321_17_10_2012_2","FLD0323_05_06_2013_1","FLD0324_05_06_2013_2","FLD0325_03_07_2013_1","FLD0326_03_07_2013_2","FLD0327_16_08_2013_1","FLD0328_16_08_2013_2","FLD0329_27_08_2013_1","FLD0330_17_09_2013_1","FLD0331_17_09_2013_2","FLD0332_23_10_2013_1","FLD0333_23_10_2013_2","FLD0334_19_03_2015_p1","FLD0335_19_03_2015_p2","FLD0338_30_06_2015_p1","FLD0339_30_06_2015_L2","FLD0340_16_07_2015_p1","FLD0341_16_07_2015_L1","FLD0342_28_07_2015_1","FLD0344_30_07_2015_1","FLD0347_04_08_2015_1","FLD0351_10_08_2015_1","FLD0353_12_08_2015_1","FLD0355_13_08_2015_1","FLD0356_13_08_2015_2","FLD0357_03_09_2015_2","FLD0358_16_09_2015_1","FLD0359_16_09_2015_2","FLD0360_21_10_2015_1","FLD0361_21_10_2015_2","FLD0362_19_07_2016","FLD0363_20_07_2016","FLD0364_25_07_2016","FLD0365_27_07_2016","FLD0366_01_08_2016","FLD0367_09_08_2016","FLD0368_18_08_2016","FLD0369_23_08_2016","FLD0370_03_09_2016","FLD0371_15_09_2016","FLD0372_22_09_2016","FLD0373_25_10_2016"
"ASV_87",5,7,0,0,0,13,11,92,164,5,61,93,24,38,7,0,5,21,0,6,13,120,483,86,54,36,53,0,10,13,27,4,5,0,9,13,41,68,80,138,173,318,8,197,52,317,41,60,23,22,20,0,7,7,7,85,19,49,46,115,103,155,179,0,9,368,41,0,7,0,0,0,0,0,11,0,0,0,4,0,12,233,170,182,108,31,13,9,18,6,14,22,8,0,0,0,26,44,1316,756,883,966,224,127,89,108,16,5,63,94,61,73,77,16,14,15,7,0,0,0,0,77,121,369,2406,218,103,160,60,16,0,0,1233,308,259,278,47,34,50,23,126,82,32,15,22,3,21,9,711,541,600,361,396,377,112,63,412,19,0,25
"ASV_88",0,0,0,0,0,0,0,5,6,0,0,0,11,2,15,12,0,0,0,0,0,0,0,0,0,0,0,1912,1480,170,228,1020,1446,187,9,10,18,7,60,20,51,57,9,31,57,59,5,0,72,201,185,52,171,2,0,8,3,0,0,17,15,6,16,3,2,26,45,36,195,86,122,1176,1067,4605,2343,1703,516,5,3,61,56,32,8,17,0,9,0,1,7,5,6,4,0,0,0,0,6,4,5,0,12,8,60,39,39,193,7,6,22,9,8,7,9,0,7,0,2,0,0,0,4,0,3,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,3,5,0,45,60,79,35,11,10,14,33,18,0,0,4
"ASV_89",0,82,66,170,366,1157,1647,654,1222,155,768,514,1338,911,1078,808,124,214,35,407,398,6,13,0,9,0,0,0,0,0,0,5,12,0,0,3,0,5,7,17,35,41,0,13,4,18,824,843,24,45,52,5,10,33,6,3,0,3,8,52,19,39,35,44,20,23,26,3,11,10,14,11,18,0,4,18,7,0,0,22,19,14,27,25,43,33,12,33,27,33,131,146,0,0,5,5,34,37,113,100,88,91,160,249,44,200,134,457,16,16,18,13,14,15,8,16,0,0,4,12,5,49,57,25,30,23,13,20,54,49,38,22,96,73,181,145,158,91,87,143,152,125,161,16,19,20,102,72,0,0,0,0,0,0,0,0,0,0,0,14
"ASV_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,36,318,346,254,258,248,0,0,0,0,24,0,21,20,0,28,25,32,0,0,31,195,125,0,19,56,14,0,0,0,0,0,26,21,34,0,0,47,0,0,0,0,0,0,38,197,190,205,90,0,0,17,18,0,0,0,110,1508,672,2482,926,477,53,33,0,0,0,0,0,0,0,0,246,160,937,576,207,684,84,126,0,0,0,51,46,476,453,1114,888,225,131,0,18,0,24,45,276,198,1121,1412,678,363,0,0,0,0,0,0,0,0,21,0,28,30,26,0,0,0,0,0,0,0,0,0,0,14,15,0,16,0,0,12
"ASV_91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,55,57,23,17,19,36,33,43,40,0,32,17,32,0,0,0,0,0,0,23,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,164,173,702,600,914,445,1070,377,1357,1106,911,68,121,204,439,179,25,33,27,0,29,23,11,0,26,0,0,0
"ASV_92",0,32,27,0,0,0,14,45,52,0,22,28,26,15,0,9,0,0,0,0,0,0,0,18,10,78,111,2264,4329,1562,2043,1307,1171,722,44,79,139,45,71,14,68,95,0,46,56,35,29,25,43,33,36,0,22,0,7,42,18,11,12,46,38,40,58,0,0,89,58,15,24,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,0,0,20,0,0,0,0,0,0,0,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,5,207,293,151,121,97,92,1331,1241,71,74,6,34
"ASV_93",0,0,0,0,0,0,0,8,4,8,37,26,14,14,9,15,7,4,0,12,0,0,0,11,19,0,10,0,3,0,10,6,11,22,0,0,0,0,4,4,7,5,0,15,9,8,16,33,40,52,46,0,9,0,0,0,0,4,0,15,0,20,0,131,69,7,336,113,85,20,62,22,39,49,99,127,42,0,0,19,27,0,52,36,911,1162,422,457,1331,516,30,20,0,0,5,0,0,6,5,11,45,55,861,518,62,637,24,140,9,10,11,27,16,229,202,195,190,18,13,0,0,0,7,363,217,136,163,376,135,78,6,4,0,16,36,33,115,101,321,577,930,588,661,102,100,88,86,40,41,58,104,208,90,106,32,21,138,10,6,8
"ASV_94",0,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,62,40,40,266,936,1627,826,723,7,63,65,62,0,0,67,45,46,32,55,4,2,539,125,3279,3493,274,869,453,577,15,32,36,116,2,10,3,0,0,4,0,4,9,5,32,28,306,328,26,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,415,687,6,7,0,3,0,0,0,0,118,624,66,119,8,0,0,0,0,0,0,3,0,64,0,0,16,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29
"ASV_95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,37,1016,1059,1147,1844,1363,1272,495,264,0,259,0,50,0,0,0,0,14,0,0,0,51,75,964,956,163,38,40,0,0,0,0,0,0,0,0,0,0,0,0,20,34,28,29,4,7,6,7,0,8,11,19,42,60,167,33,23,10,0,8,0,0,0,82,152,49,69,67,0,76,649,552,1193,1428,239,83,238,320,335,231,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"ASV_96",0,7,7,0,0,0,0,7,0,0,7,5,91,87,145,106,10,12,5,19,11,0,0,11,19,213,351,441,585,60,104,322,496,162,4,4,9,5,35,17,34,32,14,118,14,113,50,38,48,230,276,14,38,13,0,9,3,7,9,7,18,22,18,7,0,68,6,41,236,185,283,829,1338,1505,979,583,166,0,0,34,42,0,15,13,36,433,324,170,30,22,0,0,0,0,0,0,0,0,5,0,144,53,664,427,18,108,8,7,0,4,8,43,69,30,108,114,72,10,9,0,0,0,0,20,476,192,683,842,235,209,0,3,0,0,4,0,0,0,0,6,16,15,4,0,6,0,182,24,0,8,8,11,30,115,35,32,55,0,0,0
"ASV_97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,37,0,38,37,0,90,234,285,364,91,2082,2277,1475,1532,1677,1690,735,534,1696,1316,316,322
"ASV_99",34,634,677,39,135,96,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,66,110,0,0,0,0,0,0,0,0,0,0,23,27,197,161,76,141,193,0,45,21,55,0,0,75,140,102,0,21,131,73,103,0,225,195,481,434,770,691,12,8,119,114,41,15,6,9,0,0,0,19,17,25,9,0,218,171,66,33,21,101,69,25,8,51,39,160,251,0,15,90,215,89,158,71,13,45,55,92,113,169,192,128,124,42,71,80,0,0,0,0,39,0,183,182,303,81,123,171,0,76,50,43,53,47,56,0,0,101,21,59,75,137,54,123,231,209,182,258,0,20,134,440,251,68,93,53,54,82,57,16,22,81,42,0,721
"ASV_100",0,130,146,56,0,228,416,192,340,35,844,727,737,739,556,1271,1311,1928,27,757,734,0,45,0,75,22,74,0,10,62,107,27,41,116,0,0,0,0,0,0,0,0,0,0,0,0,881,623,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,34,196,228,78,40,113,62,71,75,786,783,263,65,67,101,38,0,0,0,0,78,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_101",0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,77,107,105,150,18,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,35,24,0,14,17,26,0,0,52,19,27,122,126,0,0,0,0,23,0,57,15,16,17,10,0,0,13,0,23,601,2038,2571,112,77,60,37,37,37,53,0,58,44,32,29,43,16,0,0,0,79,85,59,27,138,110,383,299,504,402,439,199,336,418,301,29,23,30,0,15,169,128,81,53,75,47,33,22,91,33,16,240
"ASV_102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,22,0,104,35,182,349,386,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,133,89,236,140,1049,741,1729,1225,30,0,0,0,9,0,0,765,1191,3503,2709,48,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,596,131,0,34,0,64,68,58,0,0,79,0,0,0
"ASV_103",0,0,12,0,7,0,0,0,7,0,3,0,0,9,0,5,0,0,0,0,0,0,4,0,0,4,0,408,339,52,55,433,481,215,6,0,9,13,14,9,24,33,3,23,30,34,9,0,49,63,66,10,23,12,0,9,0,7,0,22,23,9,19,10,0,27,5,83,81,42,78,50,76,82,65,122,61,0,0,8,10,0,3,0,8,9,3,9,6,10,0,0,0,0,0,0,0,0,6,0,0,0,12,0,4,40,0,13,0,0,5,8,19,750,463,1049,1019,258,170,25,0,0,26,13,13,0,37,62,50,30,0,0,0,0,96,162,206,86,161,86,195,119,137,12,22,7,24,10,489,663,679,526,613,444,691,504,461,327,7,108
"ASV_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,101,0,283,337,140,140,144,0,0,0,73,102,77,175,160,0,500,128,679,0,0,356,664,493,34,117,52,0,69,0,0,0,203,202,190,232,0,0,1097,0,39,63,0,0,0,88,182,273,197,129,0,0,0,0,35,115,0,292,181,51,112,39,0,0,0,0,0,0,0,17,0,64,0,536,398,1018,932,208,550,60,85,0,0,58,307,237,294,253,168,151,65,0,0,0,70,0,74,77,0,69,112,0,0,0,0,0,0,0,0,18,0,0,25,46,0,0,0,0,0,0,0,36,0,35,66,114,171,254,138,138,69,0,0
"ASV_105",26,67,124,453,508,254,348,57,85,0,0,0,15,0,0,0,5,7,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,197,221,350,1703,599,179,228,0,49,0,87,0,0,0,0,0,0,13,0,0,0,0,1122,1005,468,531,302,365,61,32,33,82,0,12,0,0,0,0,0,0,0,0,0,0,857,604,182,30,150,26,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,23,817,1531,0,0,0,0,0,0,0,0,148,200,250,375,0,0,0,0,0,0,0,0,0,55,47,110,91,33,0,24,0,33,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_106",13,95,83,38,50,86,98,371,499,35,218,180,748,840,1380,1957,124,245,63,542,761,502,714,107,315,0,53,0,50,0,0,60,63,76,150,99,174,162,282,839,376,411,0,134,44,164,227,137,121,92,107,0,96,0,0,0,0,0,0,0,0,47,0,0,0,63,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,275,50,348,81,0,100,30,45,0,0,0
"ASV_107",43,451,354,40,81,117,160,78,134,0,132,111,90,71,0,49,0,26,0,81,110,91,150,60,76,0,14,0,0,0,15,0,0,16,72,110,155,104,99,0,84,49,0,52,0,0,73,85,0,0,0,0,0,0,0,111,0,0,0,112,125,133,115,59,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,169,134,46,0,0,64,70,38,56,117,71,89,82,30,18,179,132,620,730,445,181,100,127,177,99,60,154,64,108,404,103,123,57,0,65,0,77,80,30,0,162,193,140,228,203,124,43,34,149,68,93,0,24,95,75,178,165,179,81,129,124,214,188,180,0,36,22,47,30,0,44,35,30,38,28,0,0,30,0,0,83
"ASV_108",0,274,197,45,0,165,255,75,77,0,0,38,65,65,35,116,93,143,0,34,0,72,123,259,351,99,131,37,0,49,83,0,0,37,0,46,41,255,169,81,180,229,0,93,56,56,58,0,69,120,93,0,0,154,47,79,0,137,58,336,177,389,358,0,0,158,67,0,0,0,0,0,0,0,0,0,0,0,0,70,52,0,0,0,76,0,0,0,0,0,0,0,0,0,0,53,0,0,163,69,139,181,174,165,648,452,840,679,0,151,142,65,0,123,46,0,68,99,98,156,32,52,89,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,90,0,123,131,90,0,0,0,126,46,225,259,218,255,330,293,72,91,370,68,0,57
"ASV_109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,261,25,2075,2940,1501,1812,1240,28,25,73,17,28,7,31,52,5,32,10,36,0,0,32,32,19,6,9,10,0,19,4,9,12,23,11,13,16,4,0,43,4,4,35,18,13,19,41,96,193,147,101,3,0,9,0,0,5,0,10,123,30,297,31,14,0,0,0,0,0,0,0,0,0,0,6,5,28,7,17,29,0,7,0,0,0,6,7,81,95,1374,1077,376,227,11,0,0,13,0,0,0,27,20,9,9,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
"ASV_110",0,0,0,0,21,0,13,22,13,0,46,71,58,79,30,53,20,33,0,39,14,0,0,96,81,374,533,363,189,850,1116,401,394,475,42,77,221,81,187,106,248,381,33,421,102,666,124,87,215,307,258,16,91,41,0,106,14,67,30,168,217,156,160,19,11,1046,26,29,30,14,0,25,23,122,177,129,104,0,0,21,19,0,43,25,142,147,30,85,28,0,12,14,0,0,0,0,0,0,15,0,99,91,171,91,42,130,12,0,24,0,17,84,40,200,161,204,157,49,49,0,0,0,0,45,38,0,48,73,24,18,0,0,0,0,0,10,13,0,13,0,26,23,0,0,12,0,0,0,0,16,23,17,41,84,38,31,59,0,0,0
"ASV_111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,27,26,0,0,0,0,0,0,0,5,6,0,27,14,0,0,0,0,24,20,12,6,12,0,11,5,5,12,6,0,0,23,11,4,10,0,44,123,90,170,488,361,63,41,0,0,0,5,15,12,7,0,15,23,188,201,6,198,20,83,11,7,8,15,5,173,84,908,864,83,62,25,41,86,177,81,99,206,131,136,150,150,0,9,58,41,74,75,204,207,297,355,725,461,695,111,933,329,540,355,54,42,30,39,43,61,30,50,26,227,70,89
"ASV_112",293,3317,3479,565,573,881,967,39,65,0,0,0,0,0,0,0,0,0,0,0,0,53,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,231,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,133,175,221,82,87,87,85,0,0,0,14,0,0,0,0,0,0,0,0,29,12,0,0,365,501,80,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,43,86,82,0,0,0,0,0,0,0,0,0,288,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,12,0,25,551,302,1434,811,15,13,0,0,0,10,0,0,9,8,10,0,42,39,208,162,88,13,12,11,0,101,86,462,365,2015,1524,21,0,0,34,90,28,34,182,386,360,461,0,0,35,15,61,31,91,23,101,43,120,135,40,0,0,13,1674,553,25,28,23,25,29,26,31,20,21,127,37,344
"ASV_114",0,0,10,46,95,91,100,44,80,21,26,31,101,67,540,351,0,0,18,103,112,41,48,0,25,0,0,0,8,0,0,25,53,12,0,0,0,12,59,149,404,360,18,127,88,128,70,54,187,57,55,79,123,0,0,0,0,22,21,35,55,43,62,31,12,49,39,23,32,46,34,26,18,0,0,23,0,0,0,68,77,28,53,154,42,47,65,25,11,28,0,0,0,0,0,0,20,12,12,0,0,0,26,0,0,0,0,13,0,0,0,0,21,16,31,0,0,0,0,29,17,43,81,24,38,16,13,29,26,36,0,0,40,50,332,284,542,594,266,610,685,439,679,109,124,81,162,79,15,10,8,0,0,0,0,0,8,0,0,0
"ASV_115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,30,0,6,0,0,0,5,0,54,29,656,453,46,10,0,29,140,16,86,382,913,1200,915,68,23,103,34,148,147,277,158,356,203,658,559,481,152,92,124,868,350,9,0,0,11,6,7,10,0,0,38,0,0
"ASV_116",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,8,0,0,0,0,61,53,105,0,0,228,248,154,4,35,394,361,157,29,54,0,90,86,121,114,0,0,56,31,0,5,0,0,0,0,0,0,0,0,8,0,9,12,0,0,0,21,18,5,3,0,24,24,0,0,0,0,0,0,24,0,6,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,69,105,82,0,26,0,35,0,0,0,0,35,54,0,0,0,0,0,93,68,299,201,348,498,481,645,582,66,53,80,145,90,0,0,0,0,0,0,0,0,0,116,0,1081
"ASV_117",14,32,22,7,0,14,47,26,24,7,266,192,160,146,94,138,82,132,0,92,79,0,0,249,386,51,70,7,0,18,37,0,10,18,0,0,7,0,0,0,8,0,0,55,59,72,146,106,140,174,158,6,59,108,15,59,0,7,0,85,97,95,77,41,6,28,108,152,74,39,106,8,11,23,54,26,26,0,0,9,14,0,26,5,186,275,85,117,159,84,0,0,7,0,0,0,7,5,0,0,0,0,0,18,23,52,0,10,0,0,0,12,0,13,6,21,6,0,0,0,0,0,10,21,0,0,14,28,13,19,0,0,0,0,5,0,0,0,18,33,71,99,60,1180,1772,2001,1055,319,40,50,33,25,19,29,11,32,29,60,37,23
"ASV_118",0,0,0,0,0,0,0,0,0,0,0,0,26,32,55,92,0,15,0,63,96,61,55,17,86,0,0,37,51,0,0,67,94,85,90,86,110,296,645,2198,957,923,25,233,209,324,0,0,403,353,318,101,271,66,26,38,13,121,113,70,106,186,136,300,135,158,350,82,52,50,62,17,28,8,11,40,30,0,19,161,139,43,45,102,76,28,35,23,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,42,59,33,42,17,21,113,109,0,0,43,33,57,65,364,122,99,58,124,50,38,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_119",0,389,371,97,76,228,534,82,154,0,118,122,142,108,105,158,140,232,0,58,38,53,186,329,454,114,137,0,0,69,68,0,41,36,0,0,63,245,217,71,157,268,0,0,36,48,107,85,70,114,73,0,18,105,32,0,0,98,65,197,102,234,268,0,0,132,73,0,0,0,0,0,0,0,0,0,0,14,0,44,26,0,0,0,33,21,0,0,0,0,52,36,0,0,28,62,42,22,88,0,55,111,92,155,468,291,485,343,33,75,81,33,0,64,0,0,43,73,0,96,49,28,82,0,0,0,0,27,23,0,0,0,0,0,47,50,58,0,49,30,90,95,62,0,0,0,56,0,62,85,88,92,132,95,28,0,135,0,18,50
"ASV_120",0,33,35,14,17,64,95,98,209,4,11,15,64,48,126,110,28,43,32,155,158,8,0,0,9,0,0,0,0,0,0,0,35,72,71,76,96,22,74,96,432,393,0,163,98,149,9,22,417,698,581,44,129,594,94,329,70,263,147,286,601,319,343,56,18,235,98,58,43,0,24,16,0,0,26,28,0,0,12,48,33,0,13,0,18,39,8,23,739,970,581,596,0,0,0,14,0,17,15,0,0,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,15,0,18,0,17,0,0,0,0,0,67,31,34,29,18,13,0,0,26,34,46,0
"ASV_121",21,151,129,25,22,36,92,8,10,6,24,33,65,58,47,42,19,26,4,25,31,12,104,120,249,72,129,29,32,40,66,40,40,27,6,14,25,5,23,0,27,44,5,19,17,61,120,97,30,37,58,0,13,6,0,26,10,8,16,18,15,20,8,0,0,69,15,132,626,233,479,142,375,441,473,423,195,7,10,146,138,27,52,32,170,212,82,304,106,67,50,61,3,0,0,16,0,15,5,5,146,122,359,212,25,117,12,29,15,8,21,90,25,49,37,33,42,10,0,21,0,11,9,30,99,31,55,70,45,31,0,0,3,0,11,11,12,7,9,12,36,18,17,11,8,9,68,21,16,17,21,63,159,949,321,206,338,234,6,37
"ASV_122",0,0,0,0,0,20,36,20,46,3,22,13,49,18,24,21,17,38,0,29,18,0,0,0,10,9,0,0,0,0,31,0,0,0,0,0,0,11,14,0,0,0,0,0,9,0,45,21,0,19,0,0,0,20,15,0,0,0,0,20,24,0,0,0,0,0,0,0,26,0,14,0,0,0,0,34,30,0,0,0,0,0,0,0,0,0,0,44,888,1021,319,221,0,0,11,13,33,65,74,30,28,65,41,63,36,53,42,56,0,320,261,27,13,24,0,39,30,79,72,0,0,0,13,102,61,106,93,243,442,343,37,40,35,22,49,52,103,42,72,32,116,111,78,30,41,25,159,85,47,46,52,59,85,88,133,176,71,750,245,2192
